,IDENTIFIANT,EPAI_COILC,LARGCOILVISC,Aluminium,Azote,Bore,Carbone,Chrome,Cuivre,Etain,Manganese,Molybdene,Nickel,Niobium,Phosphore,Silicium,Soufre,Titane
207,18P193,3.3499999,1096,341,47,28,2314,1701,120,14,11965,21,133,3,114,2584.0,10,394
208,18P194,3.3499999,1096,327,69,28,2424,1652,100,42,11475,28,148,3,99,2427.0,7,382
209,18P195,3.25,1076,328,52,25,2244,1627,152,14,11461,22,160,3,113,2555.0,9,371
210,18P196,3.25,1076,328,52,25,2244,1627,152,14,11461,22,160,3,113,2555.0,9,371
211,18P197,3.25,1076,324,60,31,2297,1653,83,17,11528,16,141,8,124,2488.0,9,388
212,18P198,3.25,1076,279,49,30,2411,1701,71,65,11637,14,130,9,147,2487.0,10,372
213,18P199,3.25,1076,279,49,30,2411,1701,71,65,11637,14,130,9,147,2487.0,10,372
214,18P200,4.0999999,1075,527,42,31,2189,1675,134,52,11695,19,137,3,105,2639.0,14,374
215,18P201,4.0999999,1075,527,42,31,2189,1675,134,52,11695,19,137,3,105,2639.0,14,374
216,18P202,4.4499998,1058,310,61,2,834,2026,146,54,18784,29,135,11,212,2563.0,19,10
217,18P203,4.4499998,1058,275,52,4,819,1983,163,64,18747,25,135,9,160,2575.0,10,22
218,18P204,4.4499998,1058,275,52,4,819,1983,163,64,18747,25,135,9,160,2575.0,10,22
219,18P205,3.55,1047,349,55,29,2261,1660,112,15,11560,18,127,4,133,2481.0,10,390
220,18P206,3.55,1047,421,50,28,2194,1736,88,64,11395,13,133,4,128,2386.0,16,320
221,18P207,4.4499998,1032,341,47,28,2314,1701,120,14,11965,21,133,3,114,2584.0,10,394
222,18P208,3.3499999,1019,327,69,28,2424,1652,100,42,11475,28,148,3,99,2427.0,7,382
223,18P209,3.3499999,1019,279,49,30,2411,1701,71,65,11637,14,130,9,147,2487.0,10,372
224,18P210,2.6500001,998,325,51,29,2282,1692,112,13,11652,15,128,2,133,2524.0,7,385
225,18P211,3.45,1014,236,65,3,860,1946,148,22,18477,26,126,7,159,2580.0,12,24
226,18P212,4.1999998,1001,279,49,30,2411,1701,71,65,11637,14,130,9,147,2487.0,10,372
227,18P213,4.4499998,1001,297,64,4,878,1861,125,19,18971,23,127,7,128,2648.0,16,25
228,18P214,3.25,989,527,42,31,2189,1675,134,52,11695,19,137,3,105,2639.0,14,374
229,18P215,3.9500003,964,326,50,34,2268,1636,122,16,11529,16,138,4,154,2485.0,6,363
230,18P216,3.6500001,949,340,53,29,2242,1658,106,54,11744,26,135,14,130,2607.0,5,361
231,18P217,3.6500001,949,366,52,36,2151,1674,121,66,11819,29,151,2,121,2556.0,14,357
232,18P218,3.6500001,949,325,51,29,2282,1692,112,13,11652,15,128,2,133,2524.0,7,385
233,18P219,3.6500001,949,340,53,29,2242,1658,106,54,11744,26,135,14,130,2607.0,5,361
234,18P220,3.6500001,949,366,52,36,2151,1674,121,66,11819,29,151,2,121,2556.0,14,357
235,18P221,3.6500001,949,325,51,29,2282,1692,112,13,11652,15,128,2,133,2524.0,7,385
236,18P222,3.6500001,949,347,67,32,2169,1694,131,23,11701,27,138,26,120,2570.0,6,371
237,18P223,3.6500001,949,325,51,29,2282,1692,112,13,11652,15,128,2,133,2524.0,7,385
238,18P224,3.6500001,949,421,50,28,2194,1736,88,64,11395,13,133,4,128,2386.0,16,320
239,18P225,3.6500001,949,347,67,32,2169,1694,131,23,11701,27,138,26,120,2570.0,6,371
240,18P226,3.6500001,949,308,43,30,2229,1768,116,34,11428,39,144,8,141,2486.0,14,342
241,18P227,3.6500001,949,340,53,29,2242,1658,106,54,11744,26,135,14,130,2607.0,5,361
242,18P228,3.6500001,949,340,53,29,2242,1658,106,54,11744,26,135,14,130,2607.0,5,361
243,18P229,3.6500001,949,340,53,29,2242,1658,106,54,11744,26,135,14,130,2607.0,5,361
244,18P230,3.6500001,945,302,40,32,2360,1688,171,53,11660,25,162,3,100,2566.0,8,367
245,18P231,3.45,943,325,51,29,2282,1692,112,13,11652,15,128,2,133,2524.0,7,385
246,18P232,3.75,934,325,51,29,2282,1692,112,13,11652,15,128,2,133,2524.0,7,385
247,18P233,4.1500001,937,345,52,31,2310,1642,57,5,11660,16,116,3,114,2536.0,10,367
248,18P234,3.75,934,345,52,31,2310,1642,57,5,11660,16,116,3,114,2536.0,10,367
249,18P235,3.75,934,297,46,31,2257,1700,127,59,11467,15,132,2,89,2397.0,11,348
250,18P236,3.75,934,345,52,31,2310,1642,57,5,11660,16,116,3,114,2536.0,10,367
251,18P239,2.6500001,920,378,43,30,2240,1720,217,35,11568,23,155,1,88,2460.0,10,375
252,18P240,3.25,919,388,41,31,2199,1654,163,72,11536,20,156,4,115,2487.0,8,376
253,18P241,3.25,919,388,41,31,2199,1654,163,72,11536,20,156,4,115,2487.0,8,376
254,18P242,3.25,919,297,46,31,2257,1700,127,59,11467,15,132,2,89,2397.0,11,348
255,18P243,3.25,919,388,41,31,2199,1654,163,72,11536,20,156,4,115,2487.0,8,376
256,18P244,3.25,919,372,80,31,2210,1664,114,60,11504,19,128,4,152,2497.0,10,363
