product_id,mean,std,min,max,range,high_state_mean,low_state_mean,high_state_ratio,high_state_std,low_state_std,transition_point,transition_magnitude,trend_slope,EPAI_COILC,LARGCOILVISC,Aluminium,Azote,Bore,Carbone,Chrome,Cuivre,Etain,Manganese,Molybdene,Nickel,Niobium,Phosphore,Silicium,Soufre,Titane
18R038,115.49451400000001,279.150790871758,-204.428,653.164,857.592,333.1398591954023,-185.06334365079368,0.58,143.61779996514997,29.23120368554534,0.58,111.6486,-2.813056314625719,2.22,1270,273,12,31,292,458,176,12,2798,19,161,2,80,54.0,66,2
18R039,44.882989866666684,271.8518501430586,-267.874,584.28,852.154,267.975370310559,-213.51897597122303,0.5366666666666666,152.12415110577024,89.28828990053464,0.63,109.67099999999999,-2.8741248034933715,2.22,1270,326,32,32,290,429,109,13,2794,12,111,3,118,60.0,63,4
18R040,111.807805,282.8633068071709,-205.994,647.973,853.967,337.60263823529414,-183.46236153846158,0.5666666666666667,149.42550374923113,33.97573567665809,0.5733333333333334,67.4011,-2.7948348658762856,2.22,1270,326,32,32,290,429,109,13,2794,12,111,3,118,60.0,63,4
18R041,97.05732374333337,279.3103292902822,-270.264,590.707,860.971,301.1441667213115,-222.1554306581196,0.61,128.22149331135947,82.52011374681153,0.68,91.791,-2.8359719118516873,2.22,1270,326,32,32,290,429,109,13,2794,12,111,3,118,60.0,63,4
18R042,106.62474999999999,291.3768880985644,-203.192,661.981,865.173,351.90536524390245,-189.15481544117648,0.5466666666666666,147.29780539554054,24.943753284569336,0.5433333333333333,83.30380000000001,-2.9421477299525565,2.22,1270,313,23,30,275,464,96,40,2902,10,200,3,104,49.0,76,2
18R043,96.16634360000002,277.61119517960213,-269.44,578.348,847.788,301.3441976923077,-220.29441440677962,0.6066666666666667,124.08937543035807,81.49425186631134,0.68,191.2443,-2.8070306572206363,2.22,1270,313,23,30,275,464,96,40,2902,10,200,3,104,49.0,76,2
18R044,112.34587160000001,286.30406365281823,-205.005,653.164,858.169,341.5135734117647,-187.33496923076922,0.5666666666666667,150.27236368358467,26.349292945793287,0.5666666666666667,78.68958,-2.852103892594361,2.22,1270,326,32,32,290,429,109,13,2794,12,111,3,118,60.0,63,4
18R045,102.19670722666667,281.0541242843055,-273.724,583.786,857.51,311.07112949450544,-219.96553728813555,0.6066666666666667,119.804036386502,84.38336973021573,0.6833333333333333,137.68599999999998,-2.8590897058642875,2.22,1270,313,23,30,275,464,96,40,2902,10,200,3,104,49.0,76,2
18R046,111.80014066666665,281.1955208281054,-202.862,651.434,854.2959999999999,344.1180379518072,-175.99665746268656,0.5533333333333333,141.56043373585393,45.686695159886405,0.5533333333333333,143.1243,-2.824697729752554,2.22,1270,273,12,31,292,458,176,12,2798,19,161,2,80,54.0,66,2
18R047,103.81747013333332,280.4803107707598,-268.286,592.52,860.806,308.3298610869565,-220.5814948275862,0.6133333333333333,126.4217293449782,77.6962207195622,0.6833333333333333,80.50199999999998,-2.8941814541761564,2.22,1270,273,12,31,292,458,176,12,2798,19,161,2,80,54.0,66,2
18R048,113.38326133333331,290.6525882512004,-206.735,657.779,864.514,353.1993443113773,-187.73918872180454,0.5566666666666666,144.19012320758029,32.997456135253486,0.5133333333333333,88.24700000000001,-2.9525599461327374,2.22,1270,273,12,31,292,458,176,12,2798,19,161,2,80,54.0,66,2
18R049,83.16506166666667,287.22391480502324,-268.863,597.381,866.2439999999999,312.3082755813953,-224.74613203125,0.5733333333333334,126.91444480923822,76.62687943263623,0.64,89.73100000000001,-2.908340414604607,2.22,1270,289,26,31,310,429,130,17,2899,9,110,2,164,67.0,66,3
18R050,113.94523500000001,296.2662660661553,-209.949,665.277,875.2260000000001,352.85967023809525,-190.12768257575758,0.56,160.15577490686982,35.660073110566046,0.5633333333333334,78.6896,-2.971176395271058,2.52,1142,310,32,34,290,460,140,17,2810,13,110,2,87,54.0,48,2
18R051,102.42633246666665,302.95818842816357,-276.196,613.037,889.2330000000001,341.29114046242773,-222.95643748031497,0.5766666666666667,133.92378678776547,90.92329670685761,0.66,173.1173,-3.1289671203146705,2.52,1142,310,20,33,290,440,140,72,2790,13,110,1,150,47.0,82,2
18R052,107.80220899999999,263.7656826927549,-182.098,591.449,773.547,325.1881838323353,-165.1561203007519,0.5566666666666666,131.47599551370965,31.559097480805654,0.55,58.914199999999994,-2.663652132957035,2.22,1142,310,32,34,290,460,140,17,2810,13,110,2,87,54.0,48,2
18R053,87.96448153333333,263.7682529052089,-243.649,547.696,791.345,290.34448629213483,-207.3112631147541,0.5933333333333334,117.38654605303857,60.03940080027778,0.65,96.65230000000001,-2.714954418049089,2.22,1142,310,20,33,290,440,140,72,2790,13,110,1,150,47.0,82,2
18R054,110.733053,265.19288857838325,-180.615,596.393,777.008,327.99620535714286,-165.78368636363638,0.56,131.32299560821448,30.85880962240315,0.5666666666666667,64.27,-2.6810076141068238,2.22,1142,302,37,35,314,471,140,17,3022,13,126,2,53,48.0,60,2
18R055,86.43872053333337,261.6525048685171,-239.777,549.014,788.7909999999999,284.76092379888274,-206.94701818181818,0.5966666666666667,120.67976240896013,59.32638715039034,0.65,78.5248,-2.669780356448404,2.22,1142,302,37,35,314,471,140,17,3022,13,126,2,53,48.0,60,2
18R056,98.05102433333333,264.74457348622576,-184.57,577.524,762.094,320.83239693251534,-167.01002481751823,0.5433333333333333,139.07093971260483,28.234848364715848,0.5366666666666666,66.65979999999999,-2.6412910445449405,2.22,1142,302,37,35,314,471,140,17,3022,13,126,2,53,48.0,60,2
18R057,88.94287600000003,262.3454685431601,-239.282,536.49,775.772,292.3522016949152,-203.76810487804877,0.59,112.10203573145806,64.3318020709856,0.6566666666666666,87.836,-2.6573147812753484,2.22,1142,302,37,35,314,471,140,17,3022,13,126,2,53,48.0,60,2
18R058,83.19702266666664,262.8099283329615,-241.177,534.347,775.524,291.3223218390804,-204.21410476190476,0.58,112.87799874190522,63.37954473934044,0.6433333333333333,89.15399999999998,-2.665824607873421,2.22,1142,339,13,32,272,433,123,16,2825,14,108,2,143,43.0,73,3
18R059,87.6165129,258.5041796742348,-248.675,541.186,789.8610000000001,284.4882650561798,-199.62260090163932,0.5933333333333334,117.70550226845191,68.2397925315739,0.6633333333333333,86.4351,-2.6125029537950413,2.22,1142,339,13,32,272,433,123,16,2825,14,108,2,143,43.0,73,3
18R060,88.66319399999998,264.24082450198756,-251.724,537.726,789.45,297.39313678160914,-199.58291746031747,0.58,111.77901770658242,72.98797373644301,0.65,112.226,-2.680205928421428,2.22,1142,289,26,31,310,429,130,17,2899,9,110,2,164,67.0,66,3
18R062,103.47003333333333,251.35439096744156,-180.615,587.659,768.274,305.1579389534883,-167.54808984375,0.5733333333333334,119.41742197716077,20.554823611962046,0.5733333333333334,64.9291,-2.472870535805953,2.22,1142,339,13,32,272,433,123,16,2825,14,108,2,143,43.0,73,3
18R063,102.18295266666665,260.9901001293355,-184.076,586.34,770.416,317.838628313253,-164.97258582089552,0.5533333333333333,133.7019930207977,31.619762306414614,0.5466666666666666,62.2099,-2.6188041791131016,2.22,1142,339,13,32,272,433,123,16,2825,14,108,2,143,43.0,73,3
18R064,104.58678631333333,267.6693519516045,-185.147,594.662,779.809,322.71374062275453,-169.3019457894737,0.5566666666666666,143.65674991292136,23.657557932395427,0.5633333333333334,105.05721,-2.706738658588206,2.22,1142,306,19,33,278,434,181,16,2863,19,168,2,152,43.0,80,2
18R065,100.98186466666667,262.29277788831905,-184.076,596.31,780.386,321.16659085365853,-164.53501102941178,0.5466666666666666,133.28936355983498,31.71141318138541,0.54,80.00800000000001,-2.6469446686740974,2.22,1142,306,19,33,278,434,181,16,2863,19,168,2,152,43.0,80,2
18R066,101.00912666666666,260.731761969615,-185.229,588.977,774.206,318.74026484848486,-165.10670888888887,0.55,131.05716692972882,30.78117816559592,0.5533333333333333,55.783,-2.6395583893598826,2.22,1142,274,36,36,278,472,146,16,2957,8,124,4,107,62.0,68,2
